,index_1,index_2,text_1,text_2,label_1,label_2,phi_identification,A21_identification,Cohere_identification,Ministral_identification,Llama_identification,gpt_identification
0,0,1,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","John's free-time hobbies are rowing, potholing, aquatic gardening, and Drone flying.",2_5_6_10,2_5_6_10,TRUE,True,False,True,False,True
1,0,2,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","John's free-time hobbies are sculling, water gardening, Drone flying, and potholing.",2_5_6_10,2_5_6_10,TRUE,True,False,True,False,False
2,0,3,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","As hobbies, John likes Drone flying, caving, water gardening, and sculling in his free time.",2_5_6_10,2_5_6_10,TRUE,True,False,True,False,True
3,0,4,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","As hobbies, John likes potholing, rowing, water gardening, and Drone flying in his free time.",2_5_6_10,2_5_6_10,TRUE,True,False,True,False,True
4,0,5,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","John's free-time hobbies are Drone flying, rowing, water gardening, and spelunking.",2_5_6_10,2_5_6_10,TRUE,True,True,True,False,True
5,0,6,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","In his free time, John likes aquatic gardening, piloting Aerial drones, caving, and rowing as hobbies.",2_5_6_10,2_5_6_10,TRUE,True,True,True,False,True
6,0,7,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","In his free time, John likes piloting Aerial drones, rowing, spelunking, and aquatic gardening as hobbies.",2_5_6_10,2_5_6_10,TRUE,True,True,True,True,True
7,0,8,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","John's free-time hobbies are aquatic gardening, potholing, piloting Aerial drones, and sculling.",2_5_6_10,2_5_6_10,To,True,False,True,False,False
8,0,9,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","In his free time, John likes caving, sculling, water gardening, and piloting Aerial drones as hobbies.",2_5_6_10,2_5_6_10,TRUE,True,True,True,False,True
9,0,10,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","As hobbies, John likes piloting Aerial drones, aquatic gardening, spelunking, and sculling in his free time.",2_5_6_10,2_5_6_10,FALSE,True,False,True,False,True
10,0,11,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","John's free-time hobbies are water gardening, spelunking, piloting Aerial drones, and sculling.",2_5_6_10,2_5_6_10,TRUE,True,False,True,False,True
11,0,12,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","As hobbies, John likes aquatic gardening, caving, rowing, and Drone flying in his free time.",2_5_6_10,2_5_6_10,FALSE,True,False,True,False,True
12,0,13,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","As hobbies, John likes Drone flying, rowing, spelunking, and water gardening in his free time.",2_5_6_10,2_5_6_10,TRUE,True,True,True,False,True
13,0,14,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","John's free-time hobbies are aquatic gardening, spelunking, Drone flying, and rowing.",2_5_6_10,2_5_6_10,TRUE,True,False,True,True,True
14,0,15,"As hobbies, John likes aquatic gardening, piloting Aerial drones, spelunking, and rowing in his free time.","In his free time, John likes Drone flying, aquatic gardening, caving, and sculling as hobbies.",2_5_6_10,2_5_6_10,TRUE,True,True,True,False,True
