,index_1,index_2,text_1,text_2,label_1,label_2
0,0,1,"This happened on the day December 3rd in history: 
 The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
Singapore adopts it current flag six months after it self-govern within the British Empire.
Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
Illinois becomes the 21st U.S. state.
The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.","This happened on the day December 3rd in history: 
 The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
Illinois becomes the 21st U.S. state.
The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.
Singapore adopts it current flag six months after it self-govern within the British Empire.",4_6_7_9_10,4_6_7_9_10
1,0,2,"This happened on the day December 3rd in history: 
 The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
Singapore adopts it current flag six months after it self-govern within the British Empire.
Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
Illinois becomes the 21st U.S. state.
The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.","Throughout history the following happened on the day 12/3:
 1.The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.
 2.Iran has its first Supreme Leader: Ayatollah Ruhollah Khomeini.
 3.The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
 4.Illinois becomes the 21st U.S. state.
 5.The current flag of Singapore is adopted, six months after Singapore became self-governing within the British Empire.",4_6_7_9_10,4_6_7_9_10
2,0,3,"This happened on the day December 3rd in history: 
 The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
Singapore adopts it current flag six months after it self-govern within the British Empire.
Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
Illinois becomes the 21st U.S. state.
The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.","Throughout history the following happened on the day 12/3:
 1.Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
 2.Following more than a month of Turkish–Armenian War, the Turkish-dictated Treaty of Alexandropol is concluded.
 3.The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
 4.Illinois joined U.S. as its 21st state.
 5.The current flag of Singapore is adopted, six months after Singapore became self-governing within the British Empire.",4_6_7_9_10,4_6_7_9_10
3,0,4,"This happened on the day December 3rd in history: 
 The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
Singapore adopts it current flag six months after it self-govern within the British Empire.
Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
Illinois becomes the 21st U.S. state.
The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.","Throughout history the following happened on the day 12/3:
 1.The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
 2.Singapore adopts it current flag six months after it self-govern within the British Empire.
 3.Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
 4.Illinois becomes the 21st U.S. state.
 5.Following more than a month of Turkish–Armenian War, the Turkish-dictated Treaty of Alexandropol is concluded.",4_6_7_9_10,4_6_7_9_10
4,0,5,"This happened on the day December 3rd in history: 
 The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
Singapore adopts it current flag six months after it self-govern within the British Empire.
Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
Illinois becomes the 21st U.S. state.
The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.","Throughout history the following happened on the day 12/3:
 1.The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.
 2.Illinois joined U.S. as its 21st state.
 3.Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
 4.The current flag of Singapore is adopted, six months after Singapore became self-governing within the British Empire.
 5.The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.",4_6_7_9_10,4_6_7_9_10
5,0,6,"This happened on the day December 3rd in history: 
 The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
Singapore adopts it current flag six months after it self-govern within the British Empire.
Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
Illinois becomes the 21st U.S. state.
The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.","Throughout history the following happened on the day 12/3: 
 1.Singapore adopts it current flag six months after it self-govern within the British Empire.
 2.John Paul Jones hoisted the the Grand Union Flag on USS Alfred, the first vessel to fly Grand Union Flag.
 3.Following more than a month of Turkish–Armenian War, the Turkish-dictated Treaty of Alexandropol is concluded.
 4.Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.",4_6_7_9_10,2_7_9_10
6,0,7,"This happened on the day December 3rd in history: 
 The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
Singapore adopts it current flag six months after it self-govern within the British Empire.
Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
Illinois becomes the 21st U.S. state.
The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.","This happened on the day December 3rd: 
 Following more than a month of Turkish–Armenian War, the Turkish-dictated Treaty of Alexandropol is concluded.
Iran has its first Supreme Leader: Ayatollah Ruhollah Khomeini.
USS Alfred becomes the first vessel to fly the Grand Union Flag; the flag is hoisted by John Paul Jones.
Singapore adopts it current flag six months after it self-govern within the British Empire.",4_6_7_9_10,2_7_9_10
7,0,8,"This happened on the day December 3rd in history: 
 The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
Singapore adopts it current flag six months after it self-govern within the British Empire.
Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
Illinois becomes the 21st U.S. state.
The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.","Throughout history the following happened on the day 12/3: 
 1.Singapore adopts it current flag six months after it self-govern within the British Empire.
 2.The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.
 3.Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
 4.USS Alfred becomes the first vessel to fly the Grand Union Flag; the flag is hoisted by John Paul Jones.",4_6_7_9_10,2_7_9_10
8,0,9,"This happened on the day December 3rd in history: 
 The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
Singapore adopts it current flag six months after it self-govern within the British Empire.
Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
Illinois becomes the 21st U.S. state.
The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.","Throughout history the following happened on the day 12/3: 
 1.Iran has its first Supreme Leader: Ayatollah Ruhollah Khomeini.
 2.Singapore adopts it current flag six months after it self-govern within the British Empire.
 3.The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.
 4.USS Alfred becomes the first vessel to fly the Grand Union Flag; the flag is hoisted by John Paul Jones.",4_6_7_9_10,2_7_9_10
9,0,10,"This happened on the day December 3rd in history: 
 The Duquesne Country and Athletic Club defeats an all-star collection of early football players 16–0.
Singapore adopts it current flag six months after it self-govern within the British Empire.
Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.
Illinois becomes the 21st U.S. state.
The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.","Throughout history the following happened on the day 12/3: 
 1.The Turkish-dictated Treaty of Alexandropol concluded after a month of Turkish–Armenian War.
 2.John Paul Jones hoisted the the Grand Union Flag on USS Alfred, the first vessel to fly Grand Union Flag.
 3.Singapore adopts it current flag six months after it self-govern within the British Empire.
 4.Ayatollah Ruhollah Khomeini becomes the first Supreme Leader of Iran.",4_6_7_9_10,2_7_9_10
