,index_1,index_2,text_1,text_2,label_1,label_2,phi_identification,A21_identification,Cohere_identification,Ministral_identification,Llama_identification,gpt_identification
0,0,1,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","In his free time, John likes sculling, bicycling, jazzercise, making ceramics, and running as hobbies.",1_3_4_7_10,1_3_4_7_10,TRUE,True,True,True,False,True
1,0,2,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","As hobbies, John likes making ceramics, sculling, jazzercise, running, and cycling in his free time.",1_3_4_7_10,1_3_4_7_10,TRUE,True,True,True,False,True
2,0,3,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","John's free-time hobbies are jogging, jazzercise, bicycling, making pottery, and sculling.",1_3_4_7_10,1_3_4_7_10,FALSE,True,False,True,False,True
3,0,4,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","John's free-time hobbies are bicycling, making ceramics, jazzercise, jogging, and rowing.",1_3_4_7_10,1_3_4_7_10,FALSE,True,False,True,False,False
4,0,5,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","In his free time, John likes jogging, making pottery, biking, rowing, and jazzercise as hobbies.",1_3_4_7_10,1_3_4_7_10,TRUE,True,True,True,False,True
5,0,6,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","John's free-time hobbies are bicycling, aerobics, making pottery, running, and rowing.",1_3_4_7_10,1_3_4_7_10,FALSE,True,False,True,False,True
6,0,7,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","In his free time, John likes biking, jazzercise, rowing, jogging, and making pottery as hobbies.",1_3_4_7_10,1_3_4_7_10,FALSE,True,True,True,False,True
7,0,8,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","John's free-time hobbies are jazzercise, running, sculling, making pottery, and biking.",1_3_4_7_10,1_3_4_7_10,FALSE,True,False,True,False,False
8,0,9,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","John's free-time hobbies are jogging, aerobics, rowing, bicycling, and making ceramics.",1_3_4_7_10,1_3_4_7_10,FALSE,True,False,True,False,False
9,0,10,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","As hobbies, John likes rowing, running, making pottery, cycling, and jazzercise in his free time.",1_3_4_7_10,1_3_4_7_10,TRUE,True,True,True,False,True
10,0,11,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","John's free-time hobbies are making pottery, jogging, sculling, jazzercise, and biking.",1_3_4_7_10,1_3_4_7_10,FALSE,True,False,True,False,True
11,0,12,"John's free-time hobbies are running, biking, jazzercise, making pottery, and rowing.","As hobbies, John likes biking, jogging, rowing, jazzercise, and making ceramics in his free time.",1_3_4_7_10,1_3_4_7_10,TRUE,True,False,True,False,True
