,index_1,index_2,text_1,text_2,label_1,label_2,phi_identification,A21_identification,Cohere_identification,Ministral_identification,Llama_identification,gpt_identification
0,0,1,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","John's free-time hobbies are biking, reading, caving, and jogging.",1_6_7_8,1_6_7_8,TRUE,True,False,True,False,True
1,0,2,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","As hobbies, John likes reading, jogging, cycling, and spelunking in his free time.",1_6_7_8,1_6_7_8,TRUE,True,False,True,False,False
2,0,3,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","In his free time, John likes reading, biking, jogging, and potholing as hobbies.",1_6_7_8,1_6_7_8,TRUE,True,True,True,True,True
3,0,4,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","As hobbies, John likes jogging, bicycling, reading, and spelunking in his free time.",1_6_7_8,1_6_7_8,FALSE,True,False,True,False,False
4,0,5,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","John's free-time hobbies are biking, reading, running, and spelunking.",1_6_7_8,1_6_7_8,TRUE,True,False,True,False,False
5,0,6,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","As hobbies, John likes biking, reading, jogging, and spelunking in his free time.",1_6_7_8,1_6_7_8,FALSE,True,False,True,False,False
6,0,7,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","As hobbies, John likes running, potholing, bicycling, and reading in his free time.",1_6_7_8,1_6_7_8,TRUE,True,True,True,False,True
7,0,8,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","As hobbies, John likes spelunking, reading, bicycling, and running in his free time.",1_6_7_8,1_6_7_8,TRUE,True,False,True,False,True
8,0,9,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","As hobbies, John likes bicycling, potholing, reading, and jogging in his free time.",1_6_7_8,1_6_7_8,TRUE,True,True,True,True,True
9,0,10,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","John's free-time hobbies are jogging, reading, bicycling, and potholing.",1_6_7_8,1_6_7_8,TRUE,True,True,True,True,True
10,0,11,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","John's free-time hobbies are running, bicycling, reading, and potholing.",1_6_7_8,1_6_7_8,TRUE,True,True,True,True,True
11,0,12,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","As hobbies, John likes biking, jogging, reading, and spelunking in his free time.",1_6_7_8,1_6_7_8,FALSE,True,False,True,False,True
12,0,13,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","John's free-time hobbies are reading, caving, jogging, and biking.",1_6_7_8,1_6_7_8,TRUE,True,True,True,False,True
13,0,14,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","As hobbies, John likes running, reading, potholing, and biking in his free time.",1_6_7_8,1_6_7_8,TRUE,True,True,True,False,True
14,0,15,"As hobbies, John likes potholing, jogging, biking, and reading in his free time.","As hobbies, John likes cycling, reading, running, and potholing in his free time.",1_6_7_8,1_6_7_8,TRUE,True,True,True,False,True
